workload,tier,replicas,metric,mean_value
whisper,tier3,2,app_latency_p50,0.16214692498577352
whisper,tier3,2,app_latency_p95,0.24432707409135046
whisper,tier3,2,app_latency_p99,0.2752955234006634
whisper,tier3,3,app_latency_p50,0.165282468278991
whisper,tier3,3,app_latency_p95,0.2645982447700521
whisper,tier3,3,app_latency_p99,0.3596060156206502
whisper,tier3,4,app_latency_p50,0.18236678577065168
whisper,tier3,4,app_latency_p95,0.3444233148915658
whisper,tier3,4,app_latency_p99,0.41929470604608887
whisper,tier3,5,app_latency_p50,0.23869261470696088
whisper,tier3,5,app_latency_p95,0.3665842718740864
whisper,tier3,5,app_latency_p99,0.48327306222685695
whisper,tier3,6,app_latency_p50,0.2739838796586317
whisper,tier3,6,app_latency_p95,0.47649338955710896
whisper,tier3,6,app_latency_p99,0.602154557012936
whisper,tier3,7,app_latency_p50,0.34187289958120504
whisper,tier3,7,app_latency_p95,0.6179781813352644
whisper,tier3,7,app_latency_p99,0.8031373888706418
whisper,tier3,8,app_latency_p50,0.4151889372883216
whisper,tier3,8,app_latency_p95,0.7934978497283899
whisper,tier3,8,app_latency_p99,0.9803724439537034
whisper,tier3,9,app_latency_p50,0.5023064258846266
whisper,tier3,9,app_latency_p95,0.986571372221702
whisper,tier3,9,app_latency_p99,1.3582802717932327
whisper,tier3,10,app_latency_p50,0.5788917115754003
whisper,tier3,10,app_latency_p95,1.1805201241821701
whisper,tier3,10,app_latency_p99,2.138927494478169
yolo,tier3,1,app_latency_p50,0.00501965202689504
yolo,tier3,1,app_latency_p95,0.009587741107215502
yolo,tier3,1,app_latency_p99,0.010421850879369494
yolo,tier3,2,app_latency_p50,0.005023374136584186
yolo,tier3,2,app_latency_p95,0.009550556664970448
yolo,tier3,2,app_latency_p99,0.010808381271536665
yolo,tier3,3,app_latency_p50,0.005010345024037987
yolo,tier3,3,app_latency_p95,0.00951965554567219
yolo,tier3,3,app_latency_p99,0.01009286435449651
yolo,tier3,4,app_latency_p50,0.00759584633494594
yolo,tier3,4,app_latency_p95,0.014960982575070053
yolo,tier3,4,app_latency_p99,0.016253860657234172
yolo,tier3,5,app_latency_p50,0.01081976145681926
yolo,tier3,5,app_latency_p95,0.01619325877485457
yolo,tier3,5,app_latency_p99,0.017047777205092554
yolo,tier3,6,app_latency_p50,0.01450134391499642
yolo,tier3,6,app_latency_p95,0.019275657154042676
yolo,tier3,6,app_latency_p99,0.01974112299932709
yolo,tier3,7,app_latency_p50,0.009284537058951424
yolo,tier3,7,app_latency_p95,0.014493654228902177
yolo,tier3,7,app_latency_p99,0.015480504998924356
yolo,tier3,8,app_latency_p50,0.014939748240683729
yolo,tier3,8,app_latency_p95,0.01949729620054621
yolo,tier3,8,app_latency_p99,0.019902411574756213
yolo,tier3,9,app_latency_p50,0.01482504138600973
yolo,tier3,9,app_latency_p95,0.020607937287186035
yolo,tier3,9,app_latency_p99,0.027189635905413248
yolo,tier3,10,app_latency_p50,0.020223373402680954
yolo,tier3,10,app_latency_p95,0.02606672673590416
yolo,tier3,10,app_latency_p99,0.02692786302855196
